date,total_sales,day_of_week,month,is_weekend,sales_lag_1,rolling_avg_3,rolling_std_3
2015-05-31,244.77999999999997,6,5,1,6.63,92.73666666666723,132.05903465243793
2015-06-22,4.96,0,6,0,244.77999999999997,85.45666666666722,137.98058063848626
2015-06-26,41.9,4,6,1,4.96,97.21333333333389,129.12428792962925
2015-07-03,365.91,4,7,1,41.9,137.59000000000057,198.5916858783379
2015-07-30,226.13,3,7,0,365.91,211.31333333333393,162.51236947793757
2015-08-09,646.6300000000001,6,8,1,226.13,412.8900000000006,214.15042096619894
2015-09-01,979.1,1,9,0,646.6300000000001,617.2866666666673,377.34166034687104
2015-09-03,956.0799999999999,3,9,0,979.1,860.6033333333339,185.66346068446842
2015-09-07,671.93,0,9,0,956.0799999999999,869.0366666666672,171.08699142054365
2015-09-10,51.52,3,9,0,671.93,559.8433333333338,462.5794678034612
2015-09-17,3329.43,3,9,0,51.52,1350.9600000000005,1741.2595434627196
2015-09-18,187.94,4,9,1,3329.43,1189.6300000000006,1854.3760767708363
2015-09-25,1044.63,4,9,1,187.94,1520.6666666666672,1623.9452072140032
2015-09-26,1529.14,5,9,1,1044.63,920.5700000000006,679.1520615443933
2015-10-11,979.95,6,10,1,1529.14,1184.573333333334,300.1508228096874
2015-10-12,1668.99,0,10,0,979.95,1392.6933333333338,364.22149858751084
2015-10-15,339.96,3,10,0,1668.99,996.3000000000005,664.66583867384
2015-10-31,84.4,5,10,1,339.96,697.7833333333339,850.7405717569443
2015-11-02,1038.84,0,11,0,84.4,487.73333333333386,494.0816197080525
2015-11-07,190.72,5,11,1,1038.84,437.9866666666672,523.0626460887191
2015-11-10,79.9,1,11,0,190.72,436.4866666666673,524.5878589267318
2015-11-13,378.14,4,11,1,79.9,216.25333333333393,150.75058120396366
2015-11-15,270.35,6,11,1,378.14,242.79666666666728,151.01709848004901
2015-11-21,412.68,5,11,1,270.35,353.723333333334,74.24006622661864
2015-11-22,71.35000000000001,6,11,1,412.68,251.4600000000006,171.4472697362063
2015-11-24,266.29,1,11,0,71.35000000000001,250.10666666666728,171.23950313328058
2015-11-27,459.44,4,11,1,266.29,265.69333333333395,194.0456880049974
2015-11-28,796.3199999999999,5,11,1,459.44,507.3500000000006,268.2433154805525
2015-12-03,496.04999999999995,3,12,0,796.3199999999999,583.9366666666673,184.8379918559291
2015-12-07,443.43,0,12,0,496.04999999999995,578.6000000000006,190.37782144987156
2015-12-15,1058.42,1,12,0,443.43,665.9666666666673,340.8913760031669
2015-12-18,646.78,4,12,1,1058.42,716.2100000000006,313.31863765183067
2015-12-20,144.28,6,12,1,646.78,616.4933333333339,457.82195942673235
2015-12-24,627.92,3,12,0,144.28,472.99333333333396,284.8302416060004
2015-12-26,22.2,5,12,1,627.92,264.8000000000006,320.3404164322686
2015-12-27,1334.38,6,12,1,22.2,661.5000000000006,656.7341931101191
2015-12-28,54.38,0,12,0,1334.38,470.3200000000006,748.4708750512604
2016-01-16,102.22,5,1,1,54.38,496.99333333333396,725.592508597858
2016-01-22,7.56,4,1,1,102.22,54.7200000000006,47.33091590070177
2016-03-11,63.44,4,3,1,7.56,57.740000000000606,47.58672503965053
2016-03-13,361.1,6,3,1,63.44,144.03333333333396,190.05024844322782
2016-03-18,189.88,4,3,1,361.1,204.8066666666673,149.39033748316055
2016-03-20,132.71,6,3,1,189.88,227.89666666666724,118.84632191756126
2016-04-01,560.78,4,4,1,132.71,294.4566666666672,232.4073807634615
2016-04-05,158.37,1,4,0,560.78,283.9533333333339,240.0819889815406
2016-04-08,448.4,4,4,1,158.37,389.18333333333385,207.63769463498812
2016-04-14,383.8,3,4,0,448.4,330.19000000000057,152.26580147885883
2016-04-15,2016.6299999999999,4,4,1,383.8,949.6100000000006,924.6307643054059
2016-04-22,1588.3300000000002,4,4,1,2016.6299999999999,1329.5866666666673,846.6076639349141
2016-04-23,387.75,5,4,1,1588.3300000000002,1330.9033333333339,844.4014922614315
2016-04-25,108.42,0,4,0,387.75,694.8333333333339,786.2941766497655
2016-05-09,93.98,0,5,0,108.42,196.71666666666718,165.597189690323
2016-05-11,5.98,2,5,0,93.98,69.46000000000053,55.44737324706667
2016-05-21,121.44,5,5,1,5.98,73.80000000000054,60.31730431641921
2016-05-29,1002.7,6,5,1,121.44,376.7066666666672,545.1912443659864
2016-05-30,874.3100000000001,0,5,0,1002.7,666.1500000000005,476.0805983234345
2016-06-04,753.83,5,6,1,874.3100000000001,876.9466666666672,124.45594896722578
2016-06-06,1042.52,0,6,0,753.83,890.2200000000006,145.0011210301471
2016-06-10,1388.7800000000002,4,6,1,1042.52,1061.7100000000007,317.9096848163004
2016-06-12,2048.49,6,6,1,1388.7800000000002,1493.263333333334,511.05917997168643
2016-06-17,655.09,4,6,1,2048.49,1364.1200000000006,697.0272424374812
2016-06-20,66.8,0,6,0,655.09,923.4600000000005,1017.738009853223
2016-06-26,718.95,6,6,1,66.8,480.28000000000065,359.5049480883388
2016-07-10,16.77,6,7,1,718.95,267.5066666666673,391.7608487755411
2016-07-12,95.76,1,7,0,16.77,277.1600000000006,384.6344473652861
2016-07-14,380.86,3,7,0,95.76,164.46333333333394,191.52152107095517
2016-07-16,57.239999999999995,5,7,1,380.86,177.95333333333394,176.77467050834045
2016-07-17,77.88,6,7,1,57.239999999999995,171.99333333333394,181.17799461670927
2016-07-25,686.25,0,7,0,77.88,273.7900000000006,357.349886106039
2016-08-29,162.39000000000001,0,8,0,686.25,308.8400000000006,329.56670963554416
2016-08-30,1269.86,1,8,0,162.39000000000001,706.1666666666673,554.0035698741773
2016-09-01,4438.6900000000005,3,9,0,1269.86,1956.9800000000007,2219.411147872336
2016-09-05,717.26,0,9,0,4438.6900000000005,2141.9366666666674,2008.1455613658422
2016-09-06,77.88,1,9,0,717.26,1744.6100000000008,2354.9420334479573
2016-09-08,2620.9399999999996,3,9,0,77.88,1138.6933333333338,1322.8730406706954
2016-09-11,3354.98,6,9,1,2620.9399999999996,2017.9333333333336,1719.7554717265277
2016-09-12,503.4,0,9,0,3354.98,2159.773333333334,1480.6698298180227
2016-09-17,100.16,5,9,1,503.4,1319.513333333334,1774.258729084722
2016-09-18,4.62,6,9,1,100.16,202.72666666666726,264.73630830193014
2016-09-26,756.4899999999999,0,9,0,4.62,287.09000000000054,409.3094708163997
2016-09-28,99.14,2,9,0,756.4899999999999,286.75000000000057,409.5427429463269
2016-10-13,256.2,3,10,0,99.14,370.6100000000006,343.2848550402436
2016-10-20,7.15,3,10,0,256.2,120.8300000000006,125.93378299726187
2016-10-21,1179.27,4,10,1,7.15,480.8733333333339,617.5151039718254
2016-10-27,40.2,3,10,0,1179.27,408.8733333333339,667.3877011403
2016-10-28,1759.61,4,10,1,40.2,993.0266666666672,874.7043051416481
2016-11-03,112.02,3,11,0,1759.61,637.2766666666672,972.6323105024499
2016-11-06,319.98,6,11,1,112.02,730.5366666666672,897.2490091570644
2016-11-07,27.68,0,11,0,319.98,153.22666666666728,150.4437254701394
2016-11-08,993.9000000000001,1,11,0,27.68,447.18666666666735,495.51127548556786
2016-11-16,28.4,2,11,0,993.9000000000001,349.993333333334,557.6396472035811
2016-11-20,1340.1,6,11,1,28.4,787.4666666666673,679.7795696645596
2016-11-28,7.16,0,11,0,1340.1,458.55333333333397,763.5156701295228
2016-12-01,23.92,3,12,0,7.16,457.06000000000057,764.7809853807827
2016-12-05,3065.79,0,12,0,23.92,1032.2900000000006,1761.0825965581512
2016-12-08,1288.46,3,12,0,3065.79,1459.3900000000006,1528.1217467531833
2016-12-09,79.80000000000001,4,12,1,1288.46,1478.0166666666673,1501.9929651743823
2016-12-10,764.0699999999999,5,12,1,79.80000000000001,710.7766666666672,606.0898311581656
2016-12-11,1045.21,6,12,1,764.0699999999999,629.693333333334,496.53492670036184
2016-12-13,63.88,1,12,0,1045.21,624.3866666666673,505.3570197724908
2016-12-16,4.79,4,12,1,63.88,371.293333333334,584.3763019094235
2016-12-18,1410.0700000000002,6,12,1,4.79,492.91333333333404,794.8302777532659
2017-01-20,207.85,4,1,1,1410.0700000000002,540.903333333334,759.5369390183297
2017-01-22,4189.38,6,1,1,207.85,1935.7666666666673,2042.1589125808339
2017-01-23,210.98,0,1,0,4189.38,1536.0700000000004,2297.8343970573687
2017-02-02,159.73,3,2,0,210.98,1520.0300000000007,2311.86693118354
2017-03-04,24.57,5,3,1,159.73,131.7600000000006,96.30115627551505
2017-03-08,668.5400000000001,2,3,0,24.57,284.2800000000006,339.5715934821421
2017-03-20,2.91,0,3,0,668.5400000000001,232.00666666666726,378.2040484094988
2017-03-31,205.33,4,3,1,2.91,292.2600000000006,341.22345010271664
2017-04-07,1735.85,4,4,1,205.33,648.0300000000005,947.5007801579906
2017-04-15,20.44,5,4,1,1735.85,653.8733333333339,941.5684831351005
2017-04-21,97.26,4,4,1,20.44,617.8500000000006,968.9779812255802
2017-05-28,301.96,6,5,1,97.26,139.88666666666725,145.52028083169282
2017-05-29,132.76,0,5,0,301.96,177.32666666666728,109.38538903041255
2017-06-03,35.17,5,6,1,132.76,156.6300000000006,134.98725384272913
2017-06-08,1.62,3,6,0,35.17,56.51666666666727,68.12624335257921
2017-06-10,823.73,5,6,1,1.62,286.8400000000006,465.262887731228
2017-06-15,47.98,3,6,0,823.73,291.11000000000064,461.8445200497688
2017-06-16,14.02,4,6,1,47.98,295.24333333333396,457.99774893915645
2017-06-17,51.31,5,6,1,14.02,37.77000000000061,20.6353846584331
2017-06-24,117.66,5,6,1,51.31,60.996666666667274,52.49462861412399
2017-06-29,1295.78,3,6,0,117.66,488.2500000000006,700.1279213829434
2017-06-30,75.79,4,6,1,1295.78,496.4100000000006,692.5912011424929
2017-07-06,19.009999999999998,3,7,0,75.79,463.52666666666727,721.3114446848423
2017-07-08,45.08,5,7,1,19.009999999999998,46.62666666666727,28.421580415852674
2017-07-16,71.37,6,7,1,45.08,45.15333333333393,26.180077030726657
2017-07-20,78.5,3,7,0,71.37,64.98333333333393,17.60159746542232
2017-08-21,866.4,0,8,0,78.5,338.7566666666673,456.9664370972276
2017-08-27,1488.42,6,8,1,866.4,811.1066666666674,706.5844720437423
2017-09-03,42.62,6,9,1,1488.42,799.1466666666673,725.2424891947066
2017-09-07,47.94,3,9,0,42.62,526.3266666666673,833.2015135207895
2017-09-10,147.17,6,9,1,47.94,79.24333333333394,58.88632806802186
2017-09-11,34.5,0,9,0,147.17,76.53666666666727,61.5382745397911
2017-09-14,19.05,3,9,0,34.5,66.90666666666728,69.93802709066584
2017-09-15,31.87,4,9,1,19.05,28.47333333333394,8.26611355685014
2017-09-16,14.8,5,9,1,31.87,21.906666666667274,8.886317197509163
2017-09-18,163.38,0,9,0,14.8,70.01666666666728,81.30424486664093
2017-09-19,95.62,1,9,0,163.38,91.26666666666728,74.3856016533757
2017-09-25,562.03,0,9,0,95.62,273.67666666666724,252.00910307632645
2017-10-01,650.1899999999999,6,10,1,562.03,435.9466666666672,298.0096079547342
2017-10-13,114.38,4,10,1,650.1899999999999,442.20000000000056,287.30212442653647
2017-10-17,62.92,1,10,0,114.38,275.83000000000055,325.224676339298
2017-10-19,118.73,3,10,0,62.92,98.67666666666726,31.042471443728097
2017-10-20,949.77,4,10,1,118.73,377.1400000000006,496.6966143432036
2017-10-21,729.6500000000001,5,10,1,949.77,599.383333333334,430.56233431796403
2017-10-26,26.15,3,10,0,729.6500000000001,568.5233333333339,482.43116413985354
2017-11-03,462.99,4,11,1,26.15,406.26333333333395,355.16404453904744
2017-11-05,246.38,6,11,1,462.99,245.17333333333394,218.4224998330863
2017-11-06,57.72,0,11,0,246.38,255.69666666666728,202.79557054663343
2017-11-09,96.53,3,11,0,57.72,133.54333333333395,99.62750139060337
2017-11-12,26.48,6,11,1,96.53,60.243333333333936,35.09310521077802
2017-11-13,230.38,0,11,0,26.48,117.79666666666726,103.60022120311659
2017-11-19,273.72,6,11,1,230.38,176.8600000000006,132.02347215552737
2017-11-20,126.66,0,11,0,273.72,210.25333333333393,75.5676712181513
2017-11-23,421.72,3,11,0,126.66,274.0333333333339,147.53024955355616
2017-11-24,10.82,4,11,1,421.72,186.40000000000063,211.8639969414372
2017-11-26,164.34,6,11,1,10.82,198.9600000000006,207.6261322666328
2017-12-01,1655.8,4,12,1,164.34,610.3200000000006,908.6602337507683
2017-12-07,374.38,3,12,0,1655.8,731.5066666666672,807.3213888739317
2017-12-08,3955.51,4,12,1,374.38,1995.2300000000007,1814.5337039856822
2017-12-09,577.76,5,12,1,3955.51,1635.883333333334,2011.4277915533864
2017-12-11,63.339999999999996,0,12,0,577.76,1532.2033333333338,2114.348217449844
2017-12-17,66.28,6,12,1,63.339999999999996,235.79333333333395,296.15546885602674
2017-12-21,12.51,3,12,0,66.28,47.37666666666727,30.231179820393642
2017-12-22,839.43,4,12,1,12.51,306.0733333333339,462.68218426186786
2017-12-24,35.91,6,12,1,839.43,295.95000000000056,470.81288512529017
2017-12-25,41.96,0,12,0,35.91,305.7666666666673,462.1759033456126
2017-12-28,860.36,3,12,0,41.96,312.74333333333396,474.2595922417733
